key,en,tr,tl,hi
"browseCourses","Browse Life-Changing Courses","Hayat Değiştiren Kurslara Göz Atın","Mag-browse ng mga Life-Changing na Kurso","जीवन बदलने वाले पाठ्यक्रम ब्राउज़ करें"
"browseCoursesBtn","Browse Courses","Kurslara Göz Atın","Mag-browse ng mga Kurso","पाठ्यक्रम ब्राउज़ करें"
"browseHelpCenter","Browse our comprehensive help center for quick answers.","Hızlı cevaplar için kapsamlı yardım merkezimize göz atın.","I-browse ang aming komprehensibong help center para sa mabilis na sagot.","त्वरित उत्तरों के लिए हमारे व्यापक सहायता केंद्र को ब्राउज़ करें।"
"browseLifeChangingCourses","Browse Life-Changing Courses","Hayat Değiştiren Kurslara Göz Atın","Mag-browse ng mga Life-Changing na Kurso","जीवन बदलने वाले पाठ्यक्रम ब्राउज़ करें"
"browseMoreCourses","Browse More Courses","Daha Fazla Kursa Göz Atın","Mag-browse ng Higit Pang mga Kurso","और पाठ्यक्रम ब्राउज़ करें"
"buyNow","Buy Now","Hemen Satın Al","Bilhin Ngayon","अभी खरीदें"
"cancel","Cancel","İptal","Kanselahin","रद्द करें"
"cancelled","Cancelled","İptal Edildi","Kinansela","रद्द"
"category","Category","Kategori","Kategorya","श्रेणी"
"certificateCompletion","Certificate of completion","Tamamlama sertifikası","Sertipiko ng pagkumpleto","पूर्णता प्रमाणपत्र"
"changePassword","Change Password","Şifre Değiştir","Palitan ang Password","पासवर्ड बदलें"
"changeSimple","Change Is This Simple.","Değişim Bu Kadar Basit.","Ganito Kasimple ang Pagbabago.","बदलाव इतना सरल है।"
"checkBackSoon","Check back soon for educational content and insights!","Eğitim içeriği ve içgörüler için yakında tekrar kontrol edin!","Bumalik kaagad para sa mga educational na nilalaman!","शैक्षिक सामग्री के लिए जल्द ही वापस देखें!"
"checkout","Checkout","Ödeme","Checkout","चेकआउट"
"chooseLifeChange","Choose the life change you want","İstediğiniz hayat değişikliğini seçin","Piliin ang pagbabagong gusto mo","अपनी पसंद का जीवन परिवर्तन चुनें"
"chooseLifeChangeDesc","Pick from hundreds of practical micro-courses designed for real results.","Gerçek sonuçlar için tasarlanmış yüzlerce pratik mikro-kurstan seçim yapın.","Pumili mula sa daan-daang praktikal na micro-course na dinisenyo para sa tunay na resulta.","वास्तविक परिणामों के लिए डिज़ाइन किए गए सैकड़ों व्यावहारिक माइक्रो-कोर्स में से चुनें।"
"clear","Clear","Temizle","I-clear","साफ़ करें"
"clearAllFilters","Clear All Filters","Tüm Filtreleri Temizle","I-clear Lahat ng Filter","सभी फ़िल्टर साफ़ करें"
"clearFilters","Clear Filters","Filtreleri Temizle","I-clear ang mga Filter","फ़िल्टर साफ़ करें"
"close","Close","Kapat","Isara","बंद करें"
"collapse","Collapse","Daralt","I-collapse","संक्षिप्त करें"
"commonQuestions","Common Questions","Sık Sorulan Sorular","Mga Karaniwang Tanong","सामान्य प्रश्न"
"community","Community","Topluluk","Komunidad","समुदाय"
"completeMaterials","Complete course materials","Tam kurs materyalleri","Kumpletong mga materyales ng kurso","पूर्ण पाठ्यक्रम सामग्री"
"completePayment","Complete Payment","Ödemeyi Tamamla","Kumpletuhin ang Bayad","भुगतान पूरा करें"
"completePurchase","Complete your purchase securely","Satın alımınızı güvenli şekilde tamamlayın","Kumpletuhin ang iyong pagbili nang ligtas","अपनी खरीदारी सुरक्षित रूप से पूरी करें"
"completePurchaseTitle","Complete Your Purchase","Satın Alımınızı Tamamlayın","Kumpletuhin ang Iyong Pagbili","अपनी खरीदारी पूरी करें"
"completed","Completed","Tamamlandı","Kumpleto","पूर्ण"
"confirm","Confirm","Onayla","Kumpirmahin","पुष्टि करें"
"confirmDetails","Confirm Details","Detayları Onayla","Kumpirmahin ang mga Detalye","विवरण की पुष्टि करें"
"confirmNewPassword","Confirm New Password","Yeni Şifreyi Onayla","Kumpirmahin ang Bagong Password","नया पासवर्ड पुष्टि करें"
"connect","Connect","Bağlan","Kumonekta","कनेक्ट"
"constantStress","Constant stress.","Sürekli stres.","Palaging stressed.","लगातार तनाव।"
"contact","Contact","İletişim","Kontak","संपर्क"
"contactUs","Contact Us","Bize Ulaşın","Makipag-ugnayan sa Amin","हमसे संपर्क करें"
"copy","Copy","Kopyala","Kopyahin","कॉपी"
"course","Course","Kurs","Kurso","पाठ्यक्रम"
"courseDetails","Course Details","Kurs Detayları","Mga Detalye ng Kurso","पाठ्यक्रम विवरण"
"courseNotFound","Course Not Found","Kurs Bulunamadı","Hindi Nahanap ang Kurso","पाठ्यक्रम नहीं मिला"
"coursePrice","Course Price","Kurs Fiyatı","Presyo ng Kurso","पाठ्यक्रम मूल्य"
"courseType","Course Type","Kurs Türü","Uri ng Kurso","पाठ्यक्रम प्रकार"
"courses","courses","kurs","mga kurso","पाठ्यक्रम"
"coursesFound","courses found","kurs bulundu","mga kurso ang nahanap","पाठ्यक्रम मिले"
"create","Create","Oluştur","Gumawa","बनाएं"
"createManage","Create and manage your course catalog","Kurs kataloğunuzu oluşturun ve yönetin","Gumawa at pamahalaan ang iyong catalog ng kurso","अपना पाठ्यक्रम कैटलॉग बनाएं और प्रबंधित करें"
"currentPassword","Current Password","Mevcut Şifre","Kasalukuyang Password","वर्तमान पासवर्ड"
"customer","Customer","Müşteri","Customer","ग्राहक"
"customerInformation","Customer Information","Müşteri Bilgileri","Impormasyon ng Customer","ग्राहक जानकारी"
"cut","Cut","Kes","I-cut","कट"
"dashboard","Dashboard","Kontrol Paneli","Dashboard","डैशबोर्ड"
"date","Date","Tarih","Petsa","तारीख"
"deactivate","Deactivate","Pasifleştir","I-deactivate","निष्क्रिय करें"
"delete","Delete","Sil","I-delete","हटाएं"
"deselect","Deselect","Seçimi Kaldır","I-deselect","अचयनित करें"
"designedForBusy","Designed for busy lives - learn in under 30 minutes","Yoğun yaşamlar için tasarlandı - 30 dakikadan kısa sürede öğrenin","Dinisenyo para sa mga busy - matuto sa loob ng 30 minuto","व्यस्त जीवन के लिए डिज़ाइन - 30 मिनट से कम में सीखें"
"designedForBusyDesc","Fit life-changing learning into your lunch break or commute.","Hayat değiştiren öğrenmeyi öğle molasına veya yolculuğunuza sığdırın.","I-fit ang life-changing na pag-aaral sa iyong lunch break o biyahe.","जीवन बदलने वाली शिक्षा को अपने लंच ब्रेक या यात्रा में फिट करें।"
"difficulty","Difficulty","Zorluk","Kahirapan","कठिनाई"
"disable","Disable","Devre Dışı Bırak","I-disable","अक्षम करें"
"disabled","Disabled","Devre Dışı","Naka-disable","अक्षम"
"disconnect","Disconnect","Bağlantıyı Kes","I-disconnect","डिस्कनेक्ट"
"discoverInsights","Discover insights, tips, and stories about learning, technology, and personal development.","Öğrenme, teknoloji ve kişisel gelişim hakkında içgörüler, ipuçları ve hikayeler keşfedin.","Tuklasin ang mga insight, tip, at kwento tungkol sa pag-aaral, teknolohiya, at personal development.","सीखने, प्रौद्योगिकी और व्यक्तिगत विकास के बारे में अंतर्दृष्टि, सुझाव और कहानियां खोजें।"
"download","Download","İndir","I-download","डाउनलोड"
"downloadCourse","Download Course","Kursu İndir","I-download ang Kurso","पाठ्यक्रम डाउनलोड करें"
"downloads","downloads","indirme","mga download","डाउनलोड"
"draft","Draft","Taslak","Draft","ड्राफ्ट"
"duration","Duration","Süre","Tagal","अवधि"
"earned10Online","Earned $10 online in a single day.","Tek günde 10$ online kazandım.","Kumita ng $10 online sa isang araw.","एक ही दिन में ऑनलाइन $10 कमाए।"
"edit","Edit","Düzenle","I-edit","संपादित करें"
"email","Email","E-posta","Email","ईमेल"
"emailAddress","Email Address","E-posta Adresi","Email Address","ईमेल पता"
"emailCannotChange","Email cannot be changed","E-posta değiştirilemez","Hindi mababago ang email","ईमेल बदला नहीं जा सकता"
"emailSentInstructions","We've sent your course materials and download instructions to","Kurs materyallerinizi ve indirme talimatlarını şu adrese gönderdik:","Ipinadala na namin ang iyong mga materyales at mga tagubilin sa pag-download sa","हमने आपकी पाठ्यक्रम सामग्री और डाउनलोड निर्देश भेज दिए हैं"
"enable","Enable","Etkinleştir","I-enable","सक्षम करें"
"enabled","Enabled","Etkin","Naka-enable","सक्षम"
"enrollForFree","Enroll for Free","Ücretsiz Kayıt Ol","Mag-enroll nang Libre","मुफ्त में नामांकन करें"
"enrollmentSuccessful","Enrollment Successful!","Kayıt Başarılı!","Matagumpay ang Pag-enroll!","नामांकन सफल!"
"error","Error","Hata","Error","त्रुटि"
"everyCourseMatter","Every course is a step toward a real change you can feel.","Her kurs, hissedebileceğiniz gerçek bir değişime doğru atılan bir adımdır.","Bawat kurso ay isang hakbang tungo sa tunay na pagbabagong mararamdaman mo.","हर पाठ्यक्रम एक वास्तविक बदलाव की ओर एक कदम है जिसे आप महसूस कर सकते हैं।"
"exitFullscreen","Exit Fullscreen","Tam Ekrandan Çık","Lumabas sa Fullscreen","फ़ुलस्क्रीन से बाहर निकलें"
"expand","Expand","Genişlet","I-expand","विस्तार करें"
"expired","Expired","Süresi Doldu","Expired na","समाप्त"
"exploreCollection","Explore our collection of affordable courses designed for everyone.","Herkes için tasarlanmış uygun fiyatlı kurs koleksiyonumuzu keşfedin.","Tuklasin ang aming koleksyon ng mga abot-kayang kurso para sa lahat.","सभी के लिए डिज़ाइन किए गए किफायती पाठ्यक्रमों का हमारा संग्रह देखें।"
"export","Export","Dışa Aktar","I-export","निर्यात"
"failed","Failed","Başarısız","Nabigo","विफल"
"failedSendMessage","Failed to send message. Please try again.","Mesaj gönderilemedi. Lütfen tekrar deneyin.","Hindi naipadala ang mensahe. Subukan ulit.","संदेश भेजने में विफल। कृपया पुनः प्रयास करें।"
"failedUpdatePassword","Failed to update password","Şifre güncellenemedi","Hindi na-update ang password","पासवर्ड अपडेट करने में विफल"
"failedUpdateProfile","Failed to update profile","Profil güncellenemedi","Hindi na-update ang profile","प्रोफ़ाइल अपडेट करने में विफल"
"featured","Featured","Öne Çıkan","Featured","विशेष"
"featuredCourses","Featured Courses","Öne Çıkan Kurslar","Mga Featured na Kurso","विशेष पाठ्यक्रम"
"feelLessStressed","Feel Less Stressed","Daha Az Stresli Hisset","Maging Mas Kaunting Stress","कम तनाव महसूस करें"
"fillAllFields","Please fill in all required fields","Lütfen tüm gerekli alanları doldurun","Pakipunan lahat ng kinakailangang field","कृपया सभी आवश्यक फ़ील्ड भरें"
"filter","Filter","Filtrele","Filter","फ़िल्टर"
"filterByCategory","Filter by Category","Kategoriye Göre Filtrele","I-filter ayon sa Kategorya","श्रेणी के अनुसार फ़िल्टर करें"
"filterByDifficulty","Filter by Difficulty","Zorluğa Göre Filtrele","I-filter ayon sa Kahirapan","कठिनाई के अनुसार फ़िल्टर करें"
"filterByLanguage","Filter by Language","Dile Göre Filtrele","I-filter ayon sa Wika","भाषा के अनुसार फ़िल्टर करें"
"filterByPrice","Filter by Price","Fiyata Göre Filtrele","I-filter ayon sa Presyo","मूल्य के अनुसार फ़िल्टर करें"
"filters","Filters","Filtreler","Mga Filter","फ़िल्टर"
"followSteps","Follow the steps → See real results","Adımları takip edin → Gerçek sonuçları görün","Sundin ang mga hakbang → Makita ang tunay na resulta","चरणों का पालन करें → वास्तविक परिणाम देखें"
"followStepsDesc","Experience tangible improvements in your daily life within days.","Günler içinde günlük yaşamınızda somut iyileşmeler yaşayın.","Maranasan ang mga tunay na pagpapabuti sa iyong pang-araw-araw na buhay sa loob ng ilang araw.","कुछ ही दिनों में अपने दैनिक जीवन में ठोस सुधार अनुभव करें।"
"format","Format","Format","Format","प्रारूप"
"freeCourse","Free Course","Ücretsiz Kurs","Libreng Kurso","मुफ्त पाठ्यक्रम"
"fullName","Full Name","Ad Soyad","Buong Pangalan","पूरा नाम"
"fullscreen","Fullscreen","Tam Ekran","Fullscreen","फ़ुलस्क्रीन"
"getForFree","Get for Free","Ücretsiz Al","Kunin nang Libre","मुफ्त में पाएं"
"getInTouch","Get in Touch","İletişime Geçin","Makipag-ugnayan","संपर्क में रहें"
"getLiveChat","Get instant help with our live chat support during business hours.","Çalışma saatleri içinde canlı sohbet desteğimizle anında yardım alın.","Makakuha ng agarang tulong sa aming live chat support sa oras ng negosyo.","कार्य समय के दौरान हमारी लाइव चैट सहायता से तुरंत मदद पाएं।"
"goBack","Go Back","Geri Git","Bumalik","वापस जाएं"
"goHome","Go Home","Ana Sayfaya Git","Pumunta sa Home","होम जाएं"
"guestCheckout","Guest Checkout","Misafir Ödeme","Guest Checkout","अतिथि चेकआउट"
"helpCenter","Help Center","Yardım Merkezi","Help Center","सहायता केंद्र"
"heroSubtitle","Affordable digital courses designed for everyone. Start your learning journey today.","Herkes için tasarlanmış uygun fiyatlı dijital kurslar. Öğrenme yolculuğunuza bugün başlayın.","Mga abot-kayang digital na kurso na dinisenyo para sa lahat. Simulan ang iyong pag-aaral ngayon.","सभी के लिए डिज़ाइन किए गए किफायती डिजिटल पाठ्यक्रम। आज ही अपनी सीखने की यात्रा शुरू करें।"
"heroSubtitleHome","Discover micro-courses designed to solve real-life problems and help you live better, fast.","Gerçek hayat problemlerini çözmek ve daha iyi yaşamanız için tasarlanmış mikro-kursları keşfedin, hızlıca.","Tuklasin ang mga micro-course na dinisenyo para lutasin ang mga tunay na problema at tulungan kang mabuhay nang mas mabuti, mabilis.","वास्तविक जीवन की समस्याओं को हल करने और बेहतर जीने में मदद के लिए डिज़ाइन किए गए माइक्रो-कोर्स खोजें, तेज़ी से।"
"heroTitle","Learn Skills That Matter","Önemli Beceriler Öğrenin","Matuto ng mga Kasanayang Mahalaga","महत्वपूर्ण कौशल सीखें"
"heroTitleHome","Change Your Life in Minutes.","Hayatınızı Dakikalar İçinde Değiştirin.","Baguhin ang Iyong Buhay sa Ilang Minuto.","मिनटों में अपना जीवन बदलें।"
"hide","Hide","Gizle","Itago","छिपाएं"
"home","Home","Ana Sayfa","Home","होम"
"howDownloadCourse","How do I download my course?","Kursumu nasıl indirebilirim?","Paano ko ida-download ang aking kurso?","मैं अपना पाठ्यक्रम कैसे डाउनलोड करूं?"
"howDownloadCourseAnswer","After purchase, you'll receive an email with download instructions within 2 minutes.","Satın alma işleminden sonra, 2 dakika içinde indirme talimatları içeren bir e-posta alacaksınız.","Pagkatapos bumili, makakatanggap ka ng email na may mga tagubilin sa pag-download sa loob ng 2 minuto.","खरीदारी के बाद, आपको 2 मिनट के भीतर डाउनलोड निर्देशों के साथ एक ईमेल प्राप्त होगा।"
"import","Import","İçe Aktar","I-import","आयात"
"inactive","Inactive","Pasif","Hindi aktibo","निष्क्रिय"
"income","Income","Gelir","Kita","आय"
"instantAccess","Instant access after payment","Ödeme sonrası anında erişim","Instant access pagkatapos magbayad","भुगतान के बाद तुरंत पहुंच"
"instantDownload","Instant PDF download","Anında PDF indirme","Instant PDF download","तुरंत PDF डाउनलोड"
"instructor","Instructor","Eğitmen","Instruktor","प्रशिक्षक"
"invalid","Invalid","Geçersiz","Hindi valid","अमान्य"
"joinCommunity","Join our community forum to connect with other learners.","Diğer öğrencilerle bağlantı kurmak için topluluk forumumuza katılın.","Sumali sa aming community forum para makakonekta sa iba pang mga nag-aaral.","अन्य शिक्षार्थियों से जुड़ने के लिए हमारे सामुदायिक फ़ोरम में शामिल हों।"
"joinCommunityBtn","Join Community","Topluluğa Katıl","Sumali sa Komunidad","समुदाय में शामिल हों"
"joined","Joined","Katılım","Sumali","शामिल हुए"
"language","Language","Dil","Wika","भाषा"
"languagePreference","Language Preference","Dil Tercihi","Kagustuhan sa Wika","भाषा प्राथमिकता"
"last3Months","Last 3 Months","Son 3 Ay","Huling 3 Buwan","पिछले 3 महीने"
"last6Months","Last 6 Months","Son 6 Ay","Huling 6 na Buwan","पिछले 6 महीने"
"lastMonth","Last Month","Geçen Ay","Nakaraang Buwan","पिछला महीना"
"lastWeek","Last Week","Geçen Hafta","Nakaraang Linggo","पिछला सप्ताह"
"lastYear","Last Year","Geçen Yıl","Nakaraang Taon","पिछला वर्ष"
"latest","Latest","En Son","Pinakabago","नवीनतम"
"learnYourselfMember","LearnYourself Member","LearnYourself Üyesi","Miyembro ng LearnYourself","LearnYourself सदस्य"
"lifeCanChange","Your Life Can Change in Minutes. Why Wait?","Hayatınız Dakikalar İçinde Değişebilir. Neden Bekleyelim?","Maaaring Magbago ang Iyong Buhay sa Ilang Minuto. Bakit Maghihintay Pa?","आपका जीवन मिनटों में बदल सकता है। क्यों इंतज़ार करें?"
"liveChat","Live Chat","Canlı Sohbet","Live Chat","लाइव चैट"
"loading","Loading...","Yükleniyor...","Naglo-load...","लोड हो रहा है..."
"login","Login","Giriş Yap","Mag-login","लॉगिन"
"logout","Logout","Çıkış Yap","Mag-logout","लॉगआउट"
"makeExtraIncome","Make Extra Income","Ekstra Gelir Elde Et","Kumita ng Extra","अतिरिक्त आय कमाएं"
"manageCourses","Manage Courses","Kursları Yönet","Pamahalaan ang mga Kurso","पाठ्यक्रम प्रबंधित करें"
"manageCoursesAccount","Manage your courses and account settings","Kurslarınızı ve hesap ayarlarınızı yönetin","Pamahalaan ang iyong mga kurso at setting ng account","अपने पाठ्यक्रम और खाता सेटिंग्स प्रबंधित करें"
"manageUsers","Manage Users","Kullanıcıları Yönet","Pamahalaan ang mga User","उपयोगकर्ता प्रबंधित करें"
"maximize","Maximize","Büyüt","I-maximize","अधिकतम करें"
"message","Message","Mesaj","Mensahe","संदेश"
"messageSent","Message sent successfully! We'll get back to you soon.","Mesaj başarıyla gönderildi! En kısa sürede size dönüş yapacağız.","Matagumpay na naipadala ang mensahe! Babalikan ka namin sa lalong madaling panahon.","संदेश सफलतापूर्वक भेजा गया! हम जल्द ही आपसे संपर्क करेंगे।"
"minimize","Minimize","Küçült","I-minimize","न्यूनतम करें"
"money","Money","Para","Pera","पैसा"
"moneyBackGuarantee","30-day money-back guarantee","30 günlük para iade garantisi","30-araw na money-back guarantee","30-दिन की मनी-बैक गारंटी"
"monthlySales","Monthly Sales","Aylık Satışlar","Buwanang Benta","मासिक बिक्री"
"myCourses","My Courses","Kurslarım","Mga Kurso Ko","मेरे पाठ्यक्रम"
"nailJobInterviews","Nail Job Interviews","İş Görüşmelerinde Başarılı Ol","Magtagumpay sa Job Interview","जॉब इंटरव्यू में सफल हों"
"never","Never","Hiçbir zaman","Hindi kailanman","कभी नहीं"
"new","New","Yeni","Bago","नया"
"newPassword","New Password","Yeni Şifre","Bagong Password","नया पासवर्ड"
"newThisMonth","New This Month","Bu Ay Yeni","Bago Ngayong Buwan","इस महीने नया"
"newest","Newest","En Yeni","Pinakabago","सबसे नया"
"next","Next","İleri","Susunod","अगला"
"nextMonth","Next Month","Gelecek Ay","Susunod na Buwan","अगला महीना"
"nextWeek","Next Week","Gelecek Hafta","Susunod na Linggo","अगला सप्ताह"
"nextYear","Next Year","Gelecek Yıl","Susunod na Taon","अगला वर्ष"
"no","No","Hayır","Hindi","नहीं"
"noBlogPosts","No blog posts yet","Henüz blog yazısı yok","Wala pang mga blog post","अभी तक कोई ब्लॉग पोस्ट नहीं"
"noCourseData","No course data available","Kurs verisi mevcut değil","Walang available na datos ng kurso","कोई पाठ्यक्रम डेटा उपलब्ध नहीं"
"noCourses","No courses found","Kurs bulunamadı","Walang nahanap na kurso","कोई पाठ्यक्रम नहीं मिला"
"noCoursesPurchased","No courses purchased yet","Henüz kurs satın alınmadı","Wala pang biniling kurso","अभी तक कोई पाठ्यक्रम नहीं खरीदा"
"noName","No name","İsim yok","Walang pangalan","कोई नाम नहीं"
"noSalesData","No sales data available","Satış verisi mevcut değil","Walang available na datos ng benta","कोई बिक्री डेटा उपलब्ध नहीं"
"noSalesYet","No sales yet","Henüz satış yok","Wala pang benta","अभी तक कोई बिक्री नहीं"
"noSideIncome","No side income.","Yan gelir yok.","Walang side income.","कोई अतिरिक्त आय नहीं।"
"noSubscriptions","No subscriptions. No fluff. Just real results.","Abonelik yok. Gereksiz içerik yok. Sadece gerçek sonuçlar.","Walang subscription. Walang kalokohan. Tunay na resulta lang.","कोई सब्सक्रिप्शन नहीं। कोई बकवास नहीं। बस वास्तविक परिणाम।"
"noTransactions","No transactions found","İşlem bulunamadı","Walang nahanap na transaksyon","कोई लेनदेन नहीं मिला"
"noUsersFound","No users found","Kullanıcı bulunamadı","Walang nahanap na user","कोई उपयोगकर्ता नहीं मिला"
"none","None","Hiçbiri","Wala","कोई नहीं"
"notDownloadedYet","Not downloaded yet","Henüz indirilmedi","Hindi pa nada-download","अभी तक डाउनलोड नहीं किया"
"notFound","Not Found","Bulunamadı","Hindi Nahanap","नहीं मिला"
"offerCertificates","Do you offer certificates?","Sertifika veriyor musunuz?","Nag-aalok ba kayo ng mga sertipiko?","क्या आप प्रमाणपत्र प्रदान करते हैं?"
"offerCertificatesAnswer","Yes, completion certificates are included with most courses.","Evet, çoğu kursla birlikte tamamlama sertifikası verilmektedir.","Oo, kasama ang mga sertipiko ng pagkumpleto sa karamihan ng mga kurso.","हां, अधिकांश पाठ्यक्रमों के साथ पूर्णता प्रमाणपत्र शामिल हैं।"
"office","Office","Ofis","Opisina","कार्यालय"
"offline","Offline","Çevrimdışı","Offline","ऑफ़लाइन"
"ok","OK","Tamam","OK","ठीक है"
"oldest","Oldest","En Eski","Pinakaluma","सबसे पुराना"
"oneTimePayment","One-time payment","Tek seferlik ödeme","Isang beses na bayad","एकमुश्त भुगतान"
"online","Online","Çevrimiçi","Online","ऑनलाइन"
"open","Open","Aç","Buksan","खोलें"
"optional","Optional","İsteğe Bağlı","Opsyonal","वैकल्पिक"
"orderSummary","Order Summary","Sipariş Özeti","Buod ng Order","ऑर्डर सारांश"
"organizeLifeFaster","Organize Life Faster","Hayatını Daha Hızlı Organize Et","I-organize ang Buhay nang Mas Mabilis","जीवन को तेज़ी से व्यवस्थित करें"
"other","Other","Diğer","Iba pa","अन्य"
"otherWaysHelp","Other Ways to Get Help","Yardım Almanın Diğer Yolları","Iba Pang Paraan para Makakuha ng Tulong","मदद पाने के अन्य तरीके"
"overview","Overview","Genel Bakış","Pangkalahatang-ideya","अवलोकन"
"overviewPlatform","Overview of your e-learning platform","E-öğrenme platformunuzun genel bakışı","Pangkalahatang-ideya ng iyong e-learning platform","आपके ई-लर्निंग प्लेटफ़ॉर्म का अवलोकन"
"pageNotFound","Page Not Found","Sayfa Bulunamadı","Hindi Nahanap ang Pahina","पृष्ठ नहीं मिला"
"parentSmarter","Parent Smarter","Daha Akıllı Ebeveynlik","Maging Mas Matalinong Magulang","स्मार्ट पेरेंटिंग"
"passwordUpdated","Password updated successfully!","Şifre başarıyla güncellendi!","Matagumpay na na-update ang password!","पासवर्ड सफलतापूर्वक अपडेट किया गया!"
"paste","Paste","Yapıştır","I-paste","पेस्ट"
"paymentSuccessful","Payment Successful!","Ödeme Başarılı!","Matagumpay ang Bayad!","भुगतान सफल!"
"pdfReadyDownload","Your PDF course materials are ready for download. Check your email for the download link.","PDF kurs materyalleriniz indirmeye hazır. İndirme bağlantısı için e-postanızı kontrol edin.","Ang iyong mga PDF na materyales ng kurso ay handa nang i-download. Tingnan ang iyong email para sa download link.","आपकी PDF पाठ्यक्रम सामग्री डाउनलोड के लिए तैयार है। डाउनलोड लिंक के लिए अपना ईमेल जांचें।"
"pending","Pending","Beklemede","Nakabinbin","लंबित"
"phone","Phone","Telefon","Telepono","फ़ोन"
"popular","Popular","Popüler","Sikat","लोकप्रिय"
"popularPages","Popular Pages","Popüler Sayfalar","Mga Sikat na Pahina","लोकप्रिय पृष्ठ"
"practicalResults","Practical results in days, not months","Aylar değil, günler içinde pratik sonuçlar","Praktikal na resulta sa ilang araw, hindi buwan","महीनों में नहीं, दिनों में व्यावहारिक परिणाम"
"practicalResultsDesc","See real changes in your life within days of completing a course.","Bir kursu tamamladıktan sonra günler içinde hayatınızda gerçek değişiklikler görün.","Makita ang tunay na pagbabago sa iyong buhay sa loob ng ilang araw pagkatapos makumpleto ang isang kurso.","पाठ्यक्रम पूरा करने के कुछ ही दिनों में अपने जीवन में वास्तविक बदलाव देखें।"
"preparing","Preparing...","Hazırlanıyor...","Naghahanda...","तैयारी हो रही है..."
"previous","Previous","Önceki","Nakaraan","पिछला"
